Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,EQ,06-Oct-21,2741.45,2729,2795,2717,2748.95,2750.95,2759.33,3585605,9893855799,124866
HDFC,W3,06-Oct-21,822.4,839.95,849,811.65,824.85,820.35,831.36,22200,18456240,37
HDFC,EQ,07-Oct-21,2750.95,2770.7,2774.95,2722.6,2731,2727,2743.42,2247842,6166765813,116486
HDFC,W3,07-Oct-21,820.35,821.2,828.95,815,821.9,817.65,821.35,6600,5420910,11
HDFC,EQ,08-Oct-21,2727,2731,2745.6,2716,2726,2720.65,2729.7,1719442,4693554852,96775
HDFC,W3,08-Oct-21,817.65,815.1,825,811,817.9,817.9,819.63,9600,7868490,15
HDFC,EQ,11-Oct-21,2720.65,2739,2769,2726.8,2748.35,2749.25,2749.75,1773236,4875955872,96478
HDFC,W3,11-Oct-21,817.9,818,839,818,825,827.45,834.49,23400,19526970,39
HDFC,EQ,12-Oct-21,2749.25,2749.7,2767,2735,2754.35,2755.1,2752.62,1405800,3869637725,93240
HDFC,W3,12-Oct-21,827.45,829.15,840.05,818,840.05,837.45,829.77,10800,8961540,18
HDFC,EQ,13-Oct-21,2755.1,2775,2775,2748.2,2764,2765.6,2764.08,1513606,4183727790,94639
HDFC,W3,13-Oct-21,837.45,835.1,845,831,844,844,838.89,5400,4530000,9
HDFC,EQ,14-Oct-21,2765.6,2758.3,2815.55,2751.85,2811,2808.75,2788.92,2737670,7635132472,91462
HDFC,W3,14-Oct-21,844,855,885,850,875,878.3,866.57,17400,15078240,29
HDFC,EQ,18-Oct-21,2808.75,2848,2848,2788.05,2805.45,2811.5,2815.59,2609969,7348608399,115966
HDFC,W3,18-Oct-21,878.3,895,896,853.5,886.95,882.3,882.06,18000,15877080,30
HDFC,EQ,19-Oct-21,2811.5,2825,2827.95,2800,2821,2822.9,2818.03,1994376,5620209609,116753
HDFC,W3,19-Oct-21,882.3,873,899,873,894,894,889.49,9600,8539110,16
HDFC,EQ,20-Oct-21,2822.9,2833,2839.85,2773.4,2795,2795.1,2800.78,2106814,5900721420,98834
HDFC,W3,20-Oct-21,894,887,892.05,860,860.25,863.55,872.02,25800,22498080,40
HDFC,EQ,21-Oct-21,2795.1,2814,2857.4,2797.85,2850,2844.1,2828.8,3747385,10600618097,113568
HDFC,W3,21-Oct-21,863.55,880,892,865.1,880,881.85,879.98,76800,67582530,126
HDFC,EQ,22-Oct-21,2844.1,2858.8,2938.35,2856,2907,2903.95,2907.43,4364342,12689013565,216118
HDFC,W3,22-Oct-21,881.85,920,938.7,900,921,917.15,927.68,80400,74585310,133
HDFC,EQ,25-Oct-21,2903.95,2905,2919,2856.25,2900,2896.15,2890.77,3463553,10012339655,167820
HDFC,W3,25-Oct-21,917.15,913,914,880,880,882.1,886.12,135600,120158430,194
HDFC,EQ,26-Oct-21,2896.15,2908,2934,2896,2920.75,2911.65,2914.1,2430141,7081674412,107553
HDFC,W3,26-Oct-21,882.1,899.95,920,895,905,904.55,906.42,23400,21210300,39
HDFC,EQ,27-Oct-21,2911.65,2920.05,2948,2901.4,2905,2915,2927.16,3136213,9180191682,117977
HDFC,W3,27-Oct-21,904.55,909.55,930.4,903.1,905,905.45,921.04,63600,58577910,99
HDFC,EQ,28-Oct-21,2915,2891,2924.3,2863.15,2891.1,2900.8,2893.19,3302920,9555987109,120241
HDFC,W3,28-Oct-21,905.45,875.55,911.55,875,889.95,886.5,895.52,64200,57492510,94
HDFC,EQ,29-Oct-21,2900.8,2891,2893,2791.2,2841.5,2844.7,2844.74,3830779,10897583766,162268
HDFC,W3,29-Oct-21,886.5,845.1,870,820.55,850,850,850.59,24600,20924430,39
HDFC,EQ,01-Nov-21,2844.7,2873,2947.9,2838.05,2890,2887.95,2880.47,4951039,14261320071,254154
HDFC,W3,01-Nov-21,850,890,935,862.2,899,898.8,889.55,126600,112616700,188
HDFC,EQ,02-Nov-21,2887.95,2887.9,2917.25,2865.65,2900,2900.05,2892.02,4355642,12596624672,127862
HDFC,W3,02-Nov-21,898.8,890,911.5,883,905,901.65,892.92,85200,76076460,140
HDFC,EQ,03-Nov-21,2900.05,2908,2932.9,2872,2888.2,2895.9,2899.57,3731077,10818514374,121057
HDFC,W3,03-Nov-21,901.65,921.25,940,886,895,897,923.13,40800,37663620,68
HDFC,EQ,04-Nov-21,2895.9,2899.05,2909,2895.05,2900,2899.7,2902.05,129087,374616869.8,11161
HDFC,W3,04-Nov-21,897,910,911,910,911,911,910.5,1200,1092600,2
HDFC,EQ,08-Nov-21,2899.7,2929,3002,2906.15,2980,2979.55,2957.41,5481172,16210049011,169077
HDFC,W3,08-Nov-21,911,925,985,915,974.85,971.65,951.17,55800,53075100,90
HDFC,EQ,09-Nov-21,2979.55,2955.05,2966.95,2916.1,2938,2941.6,2940.11,2947787,8666818295,105242
HDFC,W3,09-Nov-21,971.65,950,956.75,925.6,940,939,935.82,21600,20213760,36
HDFC,EQ,10-Nov-21,2941.6,2920,2951,2886.05,2944.7,2945.6,2920.26,3294239,9620030818,111705
HDFC,W3,10-Nov-21,939,895.35,946,895,946,943,911.18,16800,15307890,28
HDFC,EQ,11-Nov-21,2945.6,2932,2932,2885.15,2905,2908.85,2904.34,2480671,7204722997,111766
HDFC,W3,11-Nov-21,943,910,918.35,890,913.55,907.15,899.35,19200,17267610,31
HDFC,EQ,12-Nov-21,2908.85,2925,2998,2905.45,2987.1,2992.65,2961.2,2802442,8298595510,107924
HDFC,W3,12-Nov-21,907.15,930,987,909,986,982.75,957.62,28800,27579330,48
HDFC,EQ,15-Nov-21,2992.65,3004,3021.1,2971,2994.15,3000.85,2992.36,3248126,9719566427,84930
HDFC,W3,15-Nov-21,982.75,980,995,965,991,989.8,975.16,34200,33350610,56
HDFC,EQ,16-Nov-21,3000.85,2986.2,2999.25,2957.7,2972.6,2975.45,2974.51,4242014,12617929621,129445
HDFC,W3,16-Nov-21,989.8,985,985,950,960,961,961.38,15000,14420670,24
HDFC,EQ,17-Nov-21,2975.45,2956.1,2977.2,2932.25,2949,2948.4,2952.71,2398355,7081640387,151593
HDFC,W3,17-Nov-21,961,934.25,960,934.25,941,939.95,946.47,18600,17604330,28
HDFC,EQ,18-Nov-21,2948.4,2936.1,2964.05,2916.75,2931.2,2925.4,2936.44,3481704,10223816402,214188
HDFC,W3,18-Nov-21,939.95,937,937,910,924.95,913.75,919.65,27600,25382310,45
HDFC,EQ,22-Nov-21,2925.4,2902,2934,2885.15,2888,2894.85,2900.83,3951901,11463776122,209720
HDFC,W3,22-Nov-21,913.75,910.9,911,870.8,880,883.35,887.05,13800,12241290,23
HDFC,EQ,23-Nov-21,2894.85,2855,2915,2855,2900,2906.5,2895.7,3340056,9671815412,133643
HDFC,W3,23-Nov-21,883.35,872,897,872,886,891,882.99,38400,33906690,64
HDFC,EQ,24-Nov-21,2906.5,2905.05,2923,2864.5,2870.5,2883.55,2903.35,2318225,6730622393,106810
HDFC,W3,24-Nov-21,891,900,901,865.55,865.55,879.2,888.64,16800,14929170,26
HDFC,EQ,25-Nov-21,2883.55,2890.45,2890.45,2847,2870,2867.75,2871.49,2221089,6377828537,157117
HDFC,W3,25-Nov-21,879.2,865,887.95,848,867,868.55,865.66,31200,27008730,52
HDFC,EQ,26-Nov-21,2867.75,2820.35,2856,2723,2745,2741.7,2767.08,3353278,9278778701,180323
HDFC,W3,26-Nov-21,868.55,825,830,790.3,818,818.9,810.97,339000,274917420,542
HDFC,EQ,29-Nov-21,2741.7,2745,2747.5,2682.3,2712.55,2713.8,2708.61,3571428,9673614458,134289
HDFC,W3,29-Nov-21,818.9,801.1,820.65,781.1,814,816.4,801.22,64800,51918870,101
HDFC,EQ,30-Nov-21,2713.8,2665,2764.9,2656,2680,2673.1,2694.42,7628539,20554477575,223764
HDFC,W3,30-Nov-21,816.4,833,843,775,783,778.45,803.66,55200,44361840,92
HDFC,EQ,01-Dec-21,2673.1,2712.8,2757.45,2696.2,2710.5,2703.65,2719.72,3847384,10463805533,155732
HDFC,W3,01-Dec-21,778.45,818.95,830.05,793.5,800,797.5,810.85,26400,21406440,44
HDFC,EQ,02-Dec-21,2703.65,2701.05,2814.95,2701.05,2805,2807.8,2786.6,4570690,12736696605,210319
HDFC,W3,02-Dec-21,797.5,812.95,855,812.95,855,850.35,841.94,29400,24753180,48
HDFC,EQ,03-Dec-21,2807.8,2790,2823.95,2765,2777,2771.65,2787.47,2961572,8255284192,104884
HDFC,W3,03-Dec-21,850.35,853.35,860,812,850,850,853.35,72600,61953000,117
HDFC,EQ,06-Dec-21,2771.65,2774.5,2799.9,2760,2765,2768.8,2781.6,1683131,4681792853,79423
HDFC,W3,06-Dec-21,850,866.5,866.7,845,845,845,856.15,4800,4109520,8
HDFC,EQ,07-Dec-21,2768.8,2795,2838.05,2769.45,2820,2817.5,2816.96,2543784,7165747017,129209
HDFC,W3,07-Dec-21,845,864.9,887,864.9,870,868.1,876.45,27600,24190080,46
HDFC,EQ,08-Dec-21,2817.5,2825.25,2864,2820.05,2854.95,2853,2849.31,1772235,5049654539,70985
HDFC,W3,08-Dec-21,868.1,883.8,901,883.15,885,885.65,891.12,27600,24594930,46
HDFC,EQ,09-Dec-21,2853,2872,2877.75,2829.05,2839.75,2842.05,2848.93,2036491,5801818223,116477
HDFC,W3,09-Dec-21,885.65,898.9,898.9,867,874,874,878.2,12600,11065320,21
HDFC,EQ,10-Dec-21,2842.05,2823.3,2838.25,2788.5,2809.3,2808.75,2813.85,3455657,9723684187,99993
